ID,AUTHOR,WORK,LOCATION,TEXT,Vm,VM_LEMMA,VM_PERSONAL,VM_MOD,Vinf,VINF_A,VINF_B,VINF_C,VINF_D,Vinf_Cop,Obj,OBJ_A,OBJ_B,OBJ_C,Pred,PRED_A,PRED_B,PRED_C,PRED_D,PRED_E,PRED_F,PRED_G,Attr,Attr_B,CHECK,Anot,DIST_OBJ_PRED,GENRE,DIALECT
357,Andocides (0027),On the Mysteries (001),37.5,"καὶ τούτοις, ὦ ἄνδρες, δέομαι ὑμῶν προσέχοντας τὸν νοῦν ἀναμιμνῄσκεσθαι, ἐὰν ἀληθῆ λέγω, καὶ διδάσκειν ἀλλήλους·",δέομαι,δέομαι,TRUE,FALSE,ἀναμιμνῄσκεσθαι,ἀναμιμνῄσκεσθαι,NA,NA,NA,FALSE,ὑμῶν,ὑμῶν,NA,NA,προσέχοντας,προσέχοντας,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,1,juridical,attic
362,Andocides (0027),On the Mysteries (001),141.1,"δέομαι οὖν ἁπάντων ὑμῶν περὶ ἐμοῦ τὴν αὐτὴν γνώμην ἔχειν, ἥνπερ καὶ περὶ τῶν ἐμῶν προγόνων, ἵνα κἀμοὶ ἐγγένηται ἐκείνους μιμήσασθαι, ἀναμνησθέντας αὐτῶν ὅτι ὅμοιοι τοῖς πλείστων καὶ μεγίστων ἀγαθῶν αἰτίοις τῇ πόλει γεγένηνται, πολλῶν ἕνεκα σφᾶς αὐτοὺς παρέχοντες τοιούτους, μάλιστα δὲ τῆς εἰς ὑμᾶς εὐνοίας, καὶ ὅπως, εἴ ποτέ τις αὐτοῖς ἢ τῶν ἐξ ἐκείνων τινὶ κίνδυνος γένοιτο ἢ συμφορά, σῴζοιντο συγγνώμης παρ’ ὑμῶν τυγχάνοντες.",δέομαι,δέομαι,TRUE,FALSE,ἔχειν,ἔχειν,NA,NA,NA,FALSE,ἁπάντων ὑμῶν,ἁπάντων ὑμῶν,NA,NA,ἀναμνησθέντας,ἀναμνησθέντας,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,delayed?,18,juridical,attic
404,Antiphon (0028),First Tetralogy (002),1.8.1,"εἴ τε καὶ ἁλοίη, τιμωρησαμένῳ κάλλιον ἔδοξεν αὐτῷ ταῦτα πάσχειν, ἢ ἀνάνδρως μηδὲν ἀντιδράσαντα ὑπὸ τῆς γραφῆς διαφθαρῆναι.",ἔδοξεν,δοκέω,FALSE,FALSE,διαφθαρῆναι,διαφθαρῆναι,NA,NA,NA,FALSE,αὐτῷ,αὐτῷ,NA,NA,ἀντιδράσαντα,ἀντιδράσαντα,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,Segundo infinitivo,6,juridical,attic
411,Antiphon (0028),Prosecution Of The Stepmother For Poisoning (001),17.2,"ἔδοξεν οὖν αὐτῇ βουλευομένῃ βέλτιον εἶναι μετὰ δεῖπνον δοῦναι, τῆς Κλυταιμνήστρας ταύτης τῆς τούτου μητρὸς ταῖς ὑποθήκαις ἅμα διακονοῦσαν.",ἔδοξεν,δοκέω,FALSE,FALSE,δοῦναι,δοῦναι,NA,NA,NA,FALSE,αὐτῇ βουλευομένῃ,αὐτῇ βουλευομένῃ,NA,NA,διακονοῦσαν,διακονοῦσαν,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,Resultado da ação do infinitivo?,15,juridical,attic
418,Antiphon (0028),On the Choreutes (006),9.2,"ἵνα μὲν ἐξῆν αὐτοῖς, εἴ τι ἠδίκουν ἐγὼ τὴν πόλιν ἢ ἐν χορηγίᾳ ἢ ἐν ἄλλοις τισίν, ἀποφήνασι καὶ ἐξελέγξασιν ἄνδρα τε ἐχθρὸν τιμωρήσασθαι καὶ τὴν πόλιν ὠφελῆσαι, ἐνταῦθα μὲν οὐδεὶς πώποτε οἷός τε ἐγένετο αὐτῶν οὔτε μικρὸν οὔτε μέγα ἐξελέγξαι ἀδικοῦντα τόνδε τὸν ἄνδρα τὸ πλῆθος τὸ ὑμέτερον·",ἐξῆν,ἔξεστι,FALSE,TRUE,τιμωρήσασθαι,τιμωρήσασθαι,NA,NA,NA,FALSE,αὐτοῖς,αὐτοῖς,NA,NA,"ἀποφήνασι, ἐξελέγξασιν",ἀποφήνασι,ἐξελέγξασιν,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,Três ações em sequência ou condicional?,13,juridical,attic
427,Antiphon (0028),On the Murder of Herodes (005),90.7,"καὶ φεισαμένοις μὲν ὑμῖν ἐμοῦ νῦν ἔξεστι τότε χρῆσθαι ὅ τι ἂν βούλησθε, ἀπολέσασι δὲ οὐδὲ βουλεύσασθαι ἔτι περὶ ἐμοῦ ἐγχωρεῖ.",ἔξεστι,ἔξεστι,FALSE,TRUE,χρῆσθαι,χρῆσθαι,NA,NA,NA,FALSE,ὑμῖν,ὑμῖν,NA,NA,φεισαμένοις,φεισαμένοις,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,Condicional?,-2,juridical,attic
435,Antiphon (0028),On the Choreutes (006),2.3,"ὑπάρχει μὲν γὰρ αὐτοῖς ἀρχαιοτάτοις εἶναι ἐν τῇ γῇ ταύτῃ, ἔπειτα τοὺς αὐτοὺς αἰεὶ περὶ τῶν αὐτῶν, ὅπερ μέγιστον σημεῖον νόμων καλῶς κειμένων·",ὑπάρχει,ὑπάρχω,FALSE,TRUE,εἶναι,εἶναι,NA,NA,NA,TRUE,αὐτοῖς,αὐτοῖς,NA,NA,ἀρχαιοτάτοις,ἀρχαιοτάτοις,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,NA,1,juridical,attic
436,Antiphon (0028),On the Murder of Herodes (005),14.3,"ὑπάρχει μέν γε αὐτοῖς ἀρχαιοτάτοις εἶναι ἐν τῇ γῇ ταύτῃ, ἔπειτα τοὺς αὐτοὺς ἀεὶ περὶ τῶν αὐτῶν, ὅπερ μέγιστόν ἐστι σημεῖον νόμων καλῶς κειμένων·",ὑπάρχει,ὑπάρχω,FALSE,TRUE,εἶναι,εἶναι,NA,NA,NA,TRUE,αὐτοῖς,αὐτοῖς,NA,NA,ἀρχαιοτάτοις,ἀρχαιοτάτοις,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,Idêntico a Antiph. 006 2.3,1,juridical,attic
439,Antiphon (0028),On the Choreutes (006),44.1,"ἐπειδὴ δὲ οὑτοσὶ ὁ βασιλεὺς εἰσῆλθεν, ἐξὸν ἀυτοῖς ἀπὸ τῆς πρώτης ἡμέρας ἀρξαμένοις τοῦ Ἑκατομβαιῶνος μηνὸς τριάκονθ’ ἡμέρας συνεχῶς τούτων ᾗτινι ἐβούλοντο ἀπογράφεσθαι, ἀπεγράφοντο οὐδεμιᾷ·",ἐξὸν,ἔξεστι,FALSE,TRUE,ἀπογράφεσθαι,ἀπογράφεσθαι,NA,NA,NA,FALSE,ἀυτοῖς,ἀυτοῖς,NA,NA,ἀρξαμένοις,ἀρξαμένοις,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,Comentar,5,juridical,attic
440,Antiphon (0028),On the Choreutes (006),44.1,"καὶ αὖθις τοῦ Μεταγειτνιῶνος μηνὸς ἀπὸ τῆς πρώτης ἡμέρας ἀρξαμένοις ἐξὸν αὐτοῖς ἀπογράφεσθαι <ᾗ>τινι ἐβούλοντο, οὐδ’ αὖ πω ἐνταῦθα ἀπεγράψαντο, ἀλλὰ παρεῖσαν καὶ τούτου τοῦ μηνὸς εἴκοσιν ἡμέρας·",ἐξὸν,ἔξεστι,FALSE,TRUE,ἀπογράφεσθαι,ἀπογράφεσθαι,NA,NA,NA,FALSE,αὐτοῖς,αὐτοῖς,NA,NA,ἀρξαμένοις,ἀρξαμένοις,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,Similar a Antiphon 006 44.1,-2,juridical,attic
